type,ident,lat,long,y_proj,x_proj,comment,altitude,model,ltime
WAYPOINT,M499,35.14011065,-115.29171405,3889916.00660565,655626.659776999,20-MAR-12 11:53,1417,GPSMap60, 
WAYPOINT,M500,35.13279903,-115.29058300,3889106.80425713,655743.638533746,20-MAR-12 11:57,1414,GPSMap60, 
WAYPOINT,M501,35.11311111,-115.28441953,3886932.77363895,656342.87029489,20-MAR-12 12:07,1367,GPSMap60, 
WAYPOINT,M502,35.10335038,-115.28135302,3885854.97952931,656641.033886272,20-MAR-12 12:17,1332,GPSMap60, 
WAYPOINT,M503,35.10213953,-115.27498847,3885730.70633547,657223.493672449,20-MAR-12 12:20,1326,GPSMap60, 
WAYPOINT,M504,35.12842636,-115.27544671,3888645.59820845,657131.228401594,20-MAR-12 12:34,1374,GPSMap60, 
WAYPOINT,M505,35.12889306,-115.27517874,3888697.78561873,657154.749659738,20-MAR-12 12:35,1369,GPSMap60, 
WAYPOINT,M506,35.12884822,-115.27491890,3888693.22246057,657178.513091751,20-MAR-12 12:36,1369,GPSMap60, 
WAYPOINT,M507,35.11914491,-115.25208324,3887653.26994803,659278.254835141,20-MAR-12 12:49,1331,GPSMap60, 
WAYPOINT,M508,35.11910534,-115.25233336,3887648.48086588,659255.537530006,20-MAR-12 12:49,1328,GPSMap60, 
WAYPOINT,M509,35.11325654,-115.25040552,3887002.84126598,659442.627504197,20-MAR-12 12:55,1316,GPSMap60, 
WAYPOINT,M510,35.10423761,-115.24646888,3886008.80938203,659819.027322008,20-MAR-12 13:00,1291,GPSMap60, 
WAYPOINT,M511,35.09933981,-115.24691345,3885464.85274281,659788.065630503,20-MAR-12 13:01,1282,GPSMap60, 
WAYPOINT,M512,35.09864084,-115.24509835,3885390.23929951,659954.888329335,20-MAR-12 13:04,1277,GPSMap60, 
WAYPOINT,M513,35.09836592,-115.24190216,3885364.8837024,660246.780417338,20-MAR-12 13:06,1271,GPSMap60, 
WAYPOINT,M514,35.09832661,-115.23976478,3885363.9643171,660441.694578791,20-MAR-12 13:07,1269,GPSMap60, 
WAYPOINT,M515,35.09718675,-115.23384305,3885247.09017994,660983.743797996,20-MAR-12 13:12,1260,GPSMap60, 
WAYPOINT,M516,35.08607687,-115.19181484,3884083.55181412,664837.348057121,21-MAR-12 06:51,1171,GPSMap60, 
WAYPOINT,M517,35.08542669,-115.19282436,3884009.76633155,664746.616497293,21-MAR-12 06:52,1174,GPSMap60, 
WAYPOINT,M518,35.08838005,-115.21046550,3884308.3151208,663132.354259116,21-MAR-12 06:57,1206,GPSMap60, 
WAYPOINT,M519,35.08376028,-115.23529496,3883755.53657854,660877.766282074,21-MAR-12 07:05,1228,GPSMap60, 
WAYPOINT,M520,35.07447992,-115.25617898,3882692.68467753,658991.713978729,21-MAR-12 08:35,1242,GPSMap60, 
WAYPOINT,M521,35.07281587,-115.25871735,3882504.07007301,658763.481208144,21-MAR-12 08:36,1236,GPSMap60, 
WAYPOINT,M522,35.08032680,-115.14893579,3883517.55061322,668758.558898823,21-MAR-12 12:31,1142,GPSMap60, 
WAYPOINT,M523,35.07940136,-115.14734013,3883417.6066704,668905.957289831,21-MAR-12 12:33,1136,GPSMap60, 
WAYPOINT,M524,35.07992447,-115.14364514,3883481.89809096,669241.784783111,21-MAR-12 12:35,1134,GPSMap60, 
WAYPOINT,M525,35.07974845,-115.14217428,3883464.87349587,669376.260604696,21-MAR-12 12:36,1133,GPSMap60, 
WAYPOINT,M526,35.07944788,-115.14052237,3883434.34408005,669527.502876824,21-MAR-12 12:37,1137,GPSMap60, 
WAYPOINT,M527,35.07951586,-115.13706475,3883447.77206733,669842.627095407,21-MAR-12 12:44,1139,GPSMap60, 
WAYPOINT,M528,35.08234617,-115.13818961,3883759.78688846,669734.197611251,21-MAR-12 12:49,1148,GPSMap60, 
WAYPOINT,M529,35.08500743,-115.13824191,3884054.87876746,669723.914145507,21-MAR-12 12:51,1148,GPSMap60, 
WAYPOINT,M530,35.08658113,-115.13823696,3884229.43851619,669721.104094941,21-MAR-12 12:52,1146,GPSMap60, 
WAYPOINT,M531,35.09629081,-115.13851441,3885305.94294045,669675.686132243,21-MAR-12 12:58,1155,GPSMap60, 
WAYPOINT,M532,35.09626240,-115.13464649,3885309.38748149,670028.348938308,21-MAR-12 12:59,1156,GPSMap60, 
WAYPOINT,M533,35.09616072,-115.12910102,3885307.5895749,670534.092473867,21-MAR-12 13:02,1159,GPSMap60, 
WAYPOINT,M534,35.09641310,-115.12828454,3885336.98129256,670607.99793922,21-MAR-12 13:03,1158,GPSMap60, 
WAYPOINT,M535,35.09717845,-115.12400743,3885429.20697613,670996.305454315,21-MAR-12 13:04,1160,GPSMap60, 
WAYPOINT,M536,35.09770869,-115.12347769,3885488.9298648,671043.488805244,21-MAR-12 13:05,1160,GPSMap60, 
WAYPOINT,M537,35.09935339,-115.11085999,3885693.09860807,672190.256709427,21-MAR-12 13:12,1165,GPSMap60, 
WAYPOINT,M538,35.09952815,-115.11031232,3885713.42973073,672239.8135478,21-MAR-12 13:13,1164,GPSMap60, 
WAYPOINT,M539,35.09898400,-115.10800629,3885657.06376361,672451.172979521,21-MAR-12 13:15,1171,GPSMap60, 
WAYPOINT,M540,35.09768237,-115.10495913,3885517.96897253,672731.694537221,21-MAR-12 13:17,1173,GPSMap60, 
WAYPOINT,M541,35.09078566,-115.09170843,3884776.05352951,673954.284810441,21-MAR-12 13:39,1177,GPSMap60, 
WAYPOINT,M542,35.09562001,-115.08510349,3885323.82879637,674546.137622345,21-MAR-12 13:47,1139,GPSMap60, 
